time,RA,DEC,AZ,D(east),I(down), H,X (north),Y (east),Z (down),F(total)
89.33,97.1165,-24.4146,176.1726,7.92859586246,59.8627326085,22598.3533358,22382.3298551,3117.1916439,38925.8290214,45010.062636
89.35,97.148,-24.3964,177.5687,7.92860226656,59.8627949563,22598.3299151,22382.3063099,3117.19091501,38925.8862323,45010.1003545
89.37,97.1812,-24.3754,179.0064,7.92860226656,59.8627949563,22598.3299151,22382.3063099,3117.19091501,38925.8862323,45010.1003545
89.39,97.2141,-24.3564,-179.5438,7.9284824888,59.8628624501,22597.450893,22381.4422069,3117.02287482,38924.4777077,45008.4408937
89.41,97.2502,-24.3348,-178.1174,7.9284824888,59.8628624501,22597.450893,22381.4422069,3117.02287482,38924.4777077,45008.4408937
89.43,97.2855,-24.3146,-176.7205,7.92835667605,59.8628665043,22596.5960587,22380.6023881,3116.85581724,38923.0115846,45006.7437642
89.45,97.3237,-24.2921,-175.3364,7.92836345615,59.8629325192,22596.5712621,22380.5774597,3116.85504533,38923.0721558,45006.7836981
89.47,97.3614,-24.2705,-173.9309,7.92836345615,59.8629325192,22596.5712621,22380.5774597,3116.85504533,38923.0721558,45006.7836981
89.49,97.4012,-24.2472,-172.4821,7.92824377013,59.8630000066,22595.6928607,22379.7139652,3116.68713384,38921.6646747,45005.1254515
89.51,97.4411,-24.225,-171.0701,7.92824377013,59.8630000066,22595.6928607,22379.7139652,3116.68713384,38921.6646747,45005.1254515
89.53,97.4822,-24.2016,-169.6688,7.92811806577,59.8630040541,22594.8387512,22378.8748572,3116.52022589,38920.199781,45003.4297492
89.55,97.5247,-24.1779,-168.3027,7.92812456268,59.8630673181,22594.8149894,22378.8509692,3116.51948601,38920.2578237,45003.4680161
89.57,97.5683,-24.154,-166.9336,7.92812456268,59.8630673181,22594.8149894,22378.8509692,3116.51948601,38920.2578237,45003.4680161
89.59,97.6126,-24.129,-165.523,7.928005283,59.8631337105,22593.9376141,22377.9884676,3116.35188197,38918.8503815,45001.8103183
89.61,97.659,-24.1065,-164.1265,7.928005283,59.8631337105,22593.9376141,22377.9884676,3116.35188197,38918.8503815,45001.8103183
89.63,97.7068,-24.0821,-162.7499,7.92788251641,59.8631365507,22593.0844456,22377.1501306,3116.18625848,38917.3852119,45000.1148498
89.65,97.7551,-24.0591,-161.3685,7.92788901264,59.8631998144,22593.0606855,22377.1262443,3116.18551847,38917.4432498,45000.1531135
89.67,97.8057,-24.0364,-160.0137,7.92788901264,59.8631998144,22593.0606855,22377.1262443,3116.18551847,38917.4432498,45000.1531135
89.69,97.8569,-24.0135,-158.6442,7.92776991885,59.8632671173,22592.1835864,22376.2640051,3116.0180323,38916.0376924,44998.4971847
89.71,97.9103,-23.9907,-157.2627,7.92776991885,59.8632671173,22592.1835864,22376.2640051,3116.0180323,38916.0376924,44998.4971847
89.73,97.9652,-23.9694,-155.8775,7.92764399052,59.8632713245,22591.3306533,22375.426072,3115.8512137,38914.5750583,44996.8040271
89.75,98.0206,-23.947,-154.5192,7.92765039194,59.863333671,22591.3072393,22375.4025335,3115.85048428,38914.6322504,44996.8417332
89.77,98.0784,-23.9267,-153.189,7.92765039194,59.863333671,22591.3072393,22375.4025335,3115.85048428,38914.6322504,44996.8417332
89.79,98.137,-23.9055,-151.8513,7.92753138987,59.8634009676,22590.4307606,22374.5409026,3115.6831267,38913.2277364,44995.1870183
89.81,98.1969,-23.885,-150.489,7.92753138987,59.8634009676,22590.4307606,22374.5409026,3115.6831267,38913.2277364,44995.1870183
89.83,98.2595,-23.8643,-149.117,7.927405522,59.8634051701,22589.5782345,22373.7033681,3115.51639514,38911.7657876,44993.4946578
89.85,98.3224,-23.8442,-147.7795,7.92741239339,59.8634721004,22589.5531005,22373.6781007,3115.51561195,38911.82718,44993.535133
89.87,98.3881,-23.825,-146.4613,7.92741239339,59.8634721004,22589.5531005,22373.6781007,3115.51561195,38911.82718,44993.535133
89.89,98.4546,-23.8055,-145.1545,7.92729338884,59.8635384738,22588.6775862,22372.8174238,3115.34839358,38910.4228674,44991.8810766
89.91,98.5223,-23.7867,-143.8315,7.92729338884,59.8635384738,22588.6775862,22372.8174238,3115.34839358,38910.4228674,44991.8810766
