# Time,nT,Gauss
9.034999999999999432e+01, -2.412580354194918618e+04, -2.412580354194918952e-01
9.037000000000000455e+01, -2.455019541715533342e+04, -2.455019541715533493e-01
9.039000000000000057e+01, -2.499141369759839290e+04, -2.499141369759839415e-01
9.040999999999999659e+01, -2.544162199726276594e+04, -2.544162199726276996e-01
9.043000000000000682e+01, -2.588870707110406511e+04, -2.588870707110406677e-01
9.045000000000000284e+01, -2.633946312062869401e+04, -2.633946312062869777e-01
9.046999999999999886e+01, -2.678367993937287247e+04, -2.678367993937287306e-01
9.048999999999999488e+01, -2.723446447172433182e+04, -2.723446447172433449e-01
9.051000000000000512e+01, -2.769735614915278711e+04, -2.769735614915279087e-01
9.053000000000000114e+01, -2.816271545511209843e+04, -2.816271545511210284e-01
9.054999999999999716e+01, -2.863376493120264786e+04, -2.863376493120264876e-01
9.056999999999999318e+01, -2.909883094855973468e+04, -2.909883094855973962e-01
9.059000000000000341e+01, -2.955586247882757743e+04, -2.955586247882758255e-01
9.060999999999999943e+01, -3.002154206520312437e+04, -3.002154206520312729e-01
9.062999999999999545e+01, -3.049738684308951269e+04, -3.049738684308951342e-01
9.065000000000000568e+01, -3.098448845381747014e+04, -3.098448845381747141e-01
9.067000000000000171e+01, -3.146764230278941977e+04, -3.146764230278942254e-01
9.068999999999999773e+01, -3.194368180927306457e+04, -3.194368180927306677e-01
9.070999999999999375e+01, -3.241872973682012525e+04, -3.241872973682012882e-01
9.073000000000000398e+01, -3.288274367950950545e+04, -3.288274367950950738e-01
9.075000000000000000e+01, -3.336002844531028677e+04, -3.336002844531029132e-01
9.076999999999999602e+01, -3.384865862141598336e+04, -3.384865862141598347e-01
9.079000000000000625e+01, -3.433102762834764144e+04, -3.433102762834764343e-01
9.081000000000000227e+01, -3.481391320247958356e+04, -3.481391320247958499e-01
9.082999999999999829e+01, -3.528991455560069880e+04, -3.528991455560070434e-01
9.084999999999999432e+01, -3.575797570425975573e+04, -3.575797570425975902e-01
9.087000000000000455e+01, -3.622802796143359592e+04, -3.622802796143360093e-01
9.089000000000000057e+01, -3.670544008675321675e+04, -3.670544008675322156e-01
9.090999999999999659e+01, -3.718347493366509298e+04, -3.718347493366509493e-01
9.093000000000000682e+01, -3.765880436378218292e+04, -3.765880436378218343e-01
9.095000000000000284e+01, -3.812944038297197403e+04, -3.812944038297197968e-01
9.096999999999999886e+01, -3.859320691815032478e+04, -3.859320691815033011e-01
9.098999999999999488e+01, -3.904864110331127449e+04, -3.904864110331127680e-01
9.101000000000000512e+01, -3.950673802510398673e+04, -3.950673802510398791e-01
9.103000000000000114e+01, -3.997139576177230629e+04, -3.997139576177231035e-01
9.104999999999999716e+01, -4.043661834720236948e+04, -4.043661834720237436e-01
9.106999999999999318e+01, -4.089638273106600536e+04, -4.089638273106601107e-01
9.109000000000000341e+01, -4.134331124375656509e+04, -4.134331124375656974e-01
9.110999999999999943e+01, -4.178976567734962737e+04, -4.178976567734963288e-01
