time,RA,DEC,AZ
98.11,177.1284,13.214,177.8483
98.13,177.3533,13.3202,178.3577
98.15,177.5773,13.4262,178.8594
98.17,177.8006,13.5311,179.3721
98.19,178.0245,13.6356,179.8948
98.21,178.2465,13.7392,-179.5768
98.23,178.4696,13.8423,-179.0584
98.25,178.6906,13.9444,-178.5459
98.27,178.9127,14.0464,-178.0484
98.29,179.1331,14.1469,-177.5552
98.31,179.3538,14.2479,-177.0746
98.33,179.5736,14.3469,-176.5687
98.35,179.7935,14.4465,-176.0619
98.37,180.0116,14.5446,-175.5618
98.39,180.231,14.6423,-175.0801
98.41,180.4484,14.7397,-174.609
98.43,180.6666,14.8371,-174.1275
98.45,180.8834,14.9337,-173.619
98.47,181.1,15.0311,-173.0981
98.49,181.3158,15.1269,-172.5889
98.51,181.5317,15.2231,-172.1094
98.53,181.7464,15.3186,-171.6385
98.55,181.9611,15.4139,-171.1754
98.57,182.1742,15.509,-170.7021
98.59,182.3877,15.6034,-170.2256
98.61,182.6004,15.6976,-169.7308
98.63,182.8126,15.7915,-169.2436
98.65,183.0245,15.8852,-168.7741
98.67,183.2355,15.978,-168.3325
98.69,183.4461,16.0711,-167.8698
98.71,183.6563,16.1628,-167.3939
98.73,183.8658,16.2544,-166.8973
98.75,184.075,16.3457,-166.4087
98.77,184.2838,16.4366,-165.9379
98.79,184.4919,16.5267,-165.4832
98.81,184.6996,16.6168,-165.0348
98.83,184.9066,16.7063,-164.587
98.85,185.1134,16.7955,-164.1389
98.87,185.3194,16.8842,-163.6655
98.89,185.525,16.9724,-163.2052
98.91,185.73,17.0601,-162.7357
98.93,185.9347,17.1477,-162.2909
98.95,186.1388,17.2347,-161.8489
98.97,186.3425,17.3209,-161.4269
98.99,186.5456,17.4074,-160.9838
99.01,186.7482,17.493,-160.5152
99.03,186.9505,17.5786,-160.0524
99.05,187.1517,17.6641,-159.5891
99.07,187.353,17.7492,-159.1465
99.09,187.5531,17.8347,-158.7146
99.11,187.7526,17.9199,-158.2933
99.13,187.952,18.0049,-157.8712
99.15,188.1508,18.0896,-157.4243
99.17,188.349,18.1744,-156.982
99.19,188.5471,18.2576,-156.5347
99.21,188.7447,18.3415,-156.0811
99.23,188.9415,18.4236,-155.6613
99.25,189.1385,18.5064,-155.2538
99.27,189.334,18.5876,-154.8493
99.29,189.5301,18.6692,-154.4178
99.31,189.7251,18.749,-153.9616
99.33,189.9208,18.8288,-153.5141
99.35,190.1159,18.9065,-153.0849
99.37,190.312,18.9843,-152.6688
99.39,190.5073,19.06,-152.266
99.41,190.7046,19.136,-151.8626
99.43,190.901,19.2103,-151.4497
99.45,191.0993,19.2845,-151.0401
99.47,191.2963,19.3573,-150.6245
99.49,191.4951,19.4303,-150.2069
99.51,191.6929,19.503,-149.7977
99.53,191.8917,19.5763,-149.4063
99.55,192.089,19.65,-149.0245
99.57,192.2879,19.7238,-148.636
99.59,192.4852,19.7987,-148.2253
99.61,192.6841,19.8735,-147.809
99.63,192.8818,19.9501,-147.406
99.65,193.0806,20.0255,-147.0094
99.67,193.2786,20.1024,-146.6238
99.69,193.4779,20.178,-146.2363
99.71,193.677,20.2547,-145.8592
99.73,193.8775,20.3294,-145.4869
99.75,194.0779,20.4047,-145.1024
99.77,194.2793,20.4788,-144.7305
99.79,194.4808,20.5538,-144.3502
99.81,194.6833,20.6273,-143.9781
99.83,194.8859,20.7024,-143.597
99.85,195.0892,20.7761,-143.2367
99.87,195.2935,20.851,-142.8885
99.89,195.4985,20.9251,-142.534
99.91,195.7041,21.0003,-142.1741
99.93,195.9107,21.0749,-141.7992
99.95,196.1182,21.15,-141.4412
99.97,196.3262,21.2248,-141.0802
99.99,196.5355,21.2995,-140.7258
100.01,196.7454,21.3741,-140.3769
100.03,196.9561,21.4483,-140.0375
100.05,197.1667,21.5226,-139.7027
100.07,197.3789,21.5962,-139.3616
100.09,197.5906,21.6703,-139.0385
100.11,197.8035,21.7438,-138.7013
100.13,198.0162,21.8177,-138.3624
100.15,198.2302,21.8912,-138.0262
100.17,198.4439,21.9651,-137.6919
100.19,198.6593,22.0385,-137.3625
100.21,198.8748,22.1123,-137.0582
100.23,199.0914,22.1861,-136.7508
100.25,199.3082,22.2601,-136.4348
100.27,199.5267,22.3339,-136.1163
100.29,199.7452,22.4077,-135.7935
100.31,199.9653,22.4813,-135.4719
100.33,200.186,22.5545,-135.1612
100.35,200.408,22.6275,-134.8473
100.37,200.6309,22.7001,-134.5459
100.39,200.8548,22.7726,-134.2496
100.41,201.0795,22.8447,-133.9559
100.43,201.3056,22.9168,-133.6669
100.45,201.5322,22.9886,-133.3829
100.47,201.7599,23.0606,-133.0947
100.49,201.9885,23.1324,-132.7962
100.51,202.2178,23.2043,-132.5058
100.53,202.4484,23.2764,-132.2271
100.55,202.6797,23.3484,-131.9525
100.57,202.912,23.4201,-131.6755
100.59,203.145,23.4917,-131.4105
100.61,203.3793,23.5627,-131.142
100.63,203.6139,23.6333,-130.8776
100.65,203.8486,23.7035,-130.609
100.67,204.0837,23.7731,-130.3276
100.69,204.3181,23.8424,-130.0468
100.71,204.5519,23.911,-129.7754
100.73,204.7852,23.9794,-129.5205
100.75,205.0179,24.0478,-129.2505
100.77,205.2502,24.1157,-128.9704
100.79,205.4823,24.1829,-128.7046
